Scientist,Institute,Country,Rank,Field
"Gr�tzel, Michael",Ecole Polytechnique F�d�rale de Lausanne,che,1,Enabling & Strategic Technologies
"Willett, Walter C.",Harvard T.H. Chan School of Public Health,usa,2,Clinical Medicine
"Wang, Zhong Lin",Georgia Institute of Technology,usa,3,Enabling & Strategic Technologies
"Kessler, Ronald C.",Harvard Medical School,usa,4,Clinical Medicine
"Kresse, Georg",Universit�t Wien,aut,5,Physics & Astronomy
"Friston, Karl",University College London,gbr,6,Clinical Medicine
"Witten, Edward",Institute for Advanced Studies,usa,7,Physics & Astronomy
"Whitesides, George M.",Harvard Faculty of Arts and Sciences,usa,8,Chemistry
"McEwen, Bruce S.",Rockefeller University,usa,9,Clinical Medicine
"Barnes, Peter J.",National Heart and Lung Institute,gbr,10,Clinical Medicine
"Altman, Douglas",University of Oxford,gbr,11,Clinical Medicine
"Halliwell, Barry",NUS Yong Loo Lin School of Medicine,sgp,12,Biomedical Research
"Karin, Michael",UC San Diego School of Medicine,usa,13,Biomedical Research
"Yusuf, Salim",McMaster University,can,14,Clinical Medicine
"Perdew, John P.",Temple University,usa,15,Physics & Astronomy
"Semenza, Gregg L.",Johns Hopkins School of Medicine,usa,16,Biomedical Research
"Folkman, Judah",Children's Hospital Boston,usa,17,Clinical Medicine
"Ridker, Paul M.",Harvard Medical School,usa,18,Clinical Medicine
"Langer, Robert",Massachusetts Institute of Technology,usa,19,Clinical Medicine
"Akira, Shizuo","WPI Immunology Frontier Research Center, Osaka University",jpn,20,Clinical Medicine
"Becke, Axel D.",Dalhousie University,can,21,Physics & Astronomy
"Bandura, Albert",Stanford University,usa,22,Psychology & Cognitive Sciences
"Libby, Peter",Harvard Medical School,usa,23,Clinical Medicine
"Newman, M. E.J.","University of Michigan, Ann Arbor",usa,24,Physics & Astronomy
"Selkoe, Dennis",Harvard Medical School,usa,25,Clinical Medicine
"Dinarello, Charles A.",Radboud University Medical Center,nld,26,Clinical Medicine
"Mattson, Mark P.",Johns Hopkins School of Medicine,usa,27,Clinical Medicine
"Corma, Avelino",Consejo Superior de Investigaciones Cient�ficas,esp,28,Chemistry
"Jain, Rakesh K.",Harvard Medical School,usa,29,Clinical Medicine
"Zadeh, Lotfi A.","University of California, Berkeley",usa,30,Information & Communication Technologies
"Hu, Frank B.",Harvard T.H. Chan School of Public Health,usa,31,Clinical Medicine
"Ioannidis, John P.A.",Stanford University School of Medicine,usa,32,Clinical Medicine
"Trost, Barry M.",Stanford University,usa,33,Chemistry
"Kannel, William B.","National Heart, Lung, and Blood Institute (NHLBI)",usa,34,Clinical Medicine
"Massague, Joan",Memorial Sloan-Kettering Cancer Center,usa,35,Biomedical Research
"Grundy, Scott M.",UT Southwestern Medical Center,usa,36,Clinical Medicine
"Wang, Joseph",Department of NanoEngineering,usa,37,Chemistry
"Lander, Eric S.",Broad Institute,gbr,38,Biomedical Research
"Kroemer, Guido",Institut de Cancerologie Gustave Roussy,fra,39,Clinical Medicine
"Grimme, Stefan",Universit�t Bonn,deu,40,Chemistry
"Alivisatos, A. Paul",Lawrence Berkeley National Laboratory,usa,41,Enabling & Strategic Technologies
"Sheldrick, George M.",Georg-August-Universit�t G�ttingen,deu,42,Chemistry
"Lieber, Charles M.",Harvard John A. Paulson School of Engineering and Applied Sciences,usa,43,Clinical Medicine
"Reed, John C.",Sanford Burnham Prebys Medical Discovery Institute,usa,44,Clinical Medicine
"Goodenough, J. B.",The University of Texas at Austin,usa,45,Enabling & Strategic Technologies
"Bartel, David P.",Howard Hughes Medical Institute,usa,46,Biomedical Research
"Braunwald, Eugene",Harvard Medical School,usa,47,Clinical Medicine
"Nei, Masatoshi",Pennsylvania State University,usa,48,Biology
"Jain, Anil",Michigan State University,usa,49,Information & Communication Technologies
"Guyatt, Gordon",McMaster University,can,50,Clinical Medicine
"Ferrara, Napoleone",Moores Cancer Center,usa,51,Clinical Medicine
"Rosenberg, Steven A.",National Cancer Institute (NCI),usa,52,Clinical Medicine
"Iijima, Sumio",Meijo University,jpn,53,Physics & Astronomy
"Rutter, Michael",King's College London,gbr,54,Psychology & Cognitive Sciences
"Holick, Michael F.",Boston University School of Medicine,usa,55,Clinical Medicine
"Koonin, Eugene V.",National Center for Biotechnology Information (NCBI),usa,56,Biomedical Research
"Hinton, Geoffrey",Google LLC,,57,Information & Communication Technologies
"Clevers, Hans",Hubrecht Institute for Developmental Biology and Stem Cell Research - KNAW,nld,58,Biomedical Research
"Laemmli, Ulrich K.",Universit� de Gen�ve,che,59,Biomedical Research
"Weinberg, Robert A.",Massachusetts Institute of Technology,usa,60,Biomedical Research
"Giovannucci, Edward L.",Harvard T.H. Chan School of Public Health,usa,61,Clinical Medicine
"Geim, A. K.",The University of Manchester,gbr,62,Physics & Astronomy
"Tilman, David","University of California, Santa Barbara",usa,63,Biology
"Topol, Eric",Scripps Translational Science Institute,usa,64,Clinical Medicine
"Barker, D. J.P.",Oregon Health & Science University,usa,65,Clinical Medicine
"Kendler, Kenneth S.",Virginia Institute for Psychiatric and Behavioral Genetics,usa,66,Clinical Medicine
"Colditz, Graham A.",Washington University School of Medicine in St. Louis,usa,67,Clinical Medicine
"Carmeliet, Peter",KU Leuven,bel,68,Clinical Medicine
"DeFronzo, Ralph",University of Texas Health Science Center at San Antonio,usa,69,Clinical Medicine
"Matyjaszewski, Krzysztof",Carnegie Mellon University,usa,70,Chemistry
"Koob, George F.",National Institute on Alcohol Abuse and Alcoholism (NIAAA),usa,71,Clinical Medicine
"Lal, Rattan",The Ohio State University,usa,72,"Agriculture, Fisheries & Forestry"
"Robertson, John",University of Cambridge,gbr,73,Physics & Astronomy
"Diener, Ed",The University of Utah,usa,74,Psychology & Cognitive Sciences
"Marmot, Michael",University College London,gbr,75,Clinical Medicine
"Thompson, Craig B.",Memorial Sloan-Kettering Cancer Center,usa,76,Clinical Medicine
"Baddeley, Alan D.",University of York,gbr,77,Psychology & Cognitive Sciences
"Kamat, Prashant V.",University of Notre Dame,usa,78,Physics & Astronomy
"Barab�si, Albert L�szl�",Northeastern University,usa,79,Physics & Astronomy
"Donoho, David",Stanford University,usa,80,Information & Communication Technologies
"Bengio, Yoshua",Montreal Institute for Learning Algorithms,can,81,Information & Communication Technologies
"De Clercq, Erik",Rega Institute for Medical Research,bel,82,Chemistry
"Gage, Fred H.",Salk Institute for Biological Studies,usa,83,Clinical Medicine
"Aggarwal, Bharat B.",Inflammation Research Center,usa,84,Clinical Medicine
"Anderson, Philip W.",Princeton University,usa,85,Physics & Astronomy
"Heeger, Alan","University of California, Santa Barbara",usa,86,Physics & Astronomy
"Xia, Younan",Georgia Institute of Technology,usa,87,Enabling & Strategic Technologies
"Robbins, Trevor W.",Behavioural and Clinical Neuroscience Institute,gbr,88,Clinical Medicine
"Ostrom, Elinor",Institute of Economic Affairs (IEA),,89,Economics & Business
"Hartwig, John F.",Berkeley College of Chemistry,usa,90,Chemistry
"Cummings, Jeffrey","University of Nevada, Las Vegas",usa,91,Clinical Medicine
"Reiter, Russel J.",University of Texas Health Science Center at San Antonio,usa,92,Clinical Medicine
"Mantovani, Alberto",Humanitas University,ita,93,Clinical Medicine
"Lovley, Derek R.",University of Massachusetts Amherst,usa,94,Biomedical Research
"Melton, L. Joseph",Mayo Clinic,usa,95,Clinical Medicine
"Hanahan, Douglas",Ludwig Institute for Cancer Research Lausanne,che,96,Clinical Medicine
"Weissleder, Ralph",Harvard Medical School,usa,97,Clinical Medicine
"Smith, George Davey",University of Bristol,gbr,98,Physics & Astronomy
"Buzs�ki, Gy�rgy",NYU Grossman School of Medicine,usa,99,Clinical Medicine
"Nestler, Eric J.",Icahn School of Medicine at Mount Sinai,usa,100,Clinical Medicine
"Vincent, Jean Louis",H�pital Erasme,bel,101,Clinical Medicine
"Rubin, Donald B.",Fox School of Business,usa,102,Mathematics & Statistics
"Ernst, Edzard",University of Exeter,gbr,103,Clinical Medicine
"Frith, Chris D.",University College London,gbr,104,Clinical Medicine
"Hunter, Tony",Salk Institute for Biological Studies,ita,105,Biomedical Research
"Lehn, Jean Marie",Universit� de Strasbourg,fra,106,Chemistry
"S�dhof, Thomas C.",Stanford University School of Medicine,usa,107,Biomedical Research
"Petersen, Ronald",Mayo Clinic,usa,108,Clinical Medicine
"Murray, Christopher J.L.",Institute for Health Metrics and Evaluation,usa,109,Clinical Medicine
"Yager, Ronald",Machine Intelligence Institute,usa,110,Information & Communication Technologies
"Green, Douglas R.",St. Jude Children's Research Hospital,usa,111,Biomedical Research
"Jorgensen, William L.",Yale University,usa,112,Chemistry
"Ryan, Richard M.",Australian Catholic University,aus,113,Psychology & Cognitive Sciences
"Springer, Timothy A.",Harvard Medical School,,114,Biomedical Research
"Mann, Matthias",Max-Planck-Institut f�r Biochemie,deu,115,Biomedical Research
"Baumeister, Roy F.",The University of Queensland,aus,116,Psychology & Cognitive Sciences
"Ingber, Donald E.",Harvard University,usa,117,Biomedical Research
"Moher, David",Ottawa Hospital Research Institute,can,118,Clinical Medicine
"Beal, M. Flint",Weill Cornell Medicine Feil Family Brain & Mind Research Institute,usa,119,Clinical Medicine
"Esteller, Manel",Instituci� Catalana de Recerca i Estudis Avan�ats,esp,120,Clinical Medicine
"Moffitt, Terrie E.",Duke University,usa,121,Clinical Medicine
"LeDoux, Joseph E.",New York University,usa,122,Clinical Medicine
"Ames, Bruce N.","University of California, Berkeley",usa,123,Biomedical Research
"Reaven, Gerald",Stanford University,usa,124,Clinical Medicine
"Maron, Barry J.",Lahey Hospital & Medical Center,usa,125,Clinical Medicine
"Medzhitov, Ruslan",Yale School of Medicine,usa,126,Clinical Medicine
"Prusiner, Stanley B.","University of California, San Francisco",usa,127,Biomedical Research
"Chou, Kuo Chen",Gordon Life Science Institute,usa,128,Biomedical Research
"Steinman, Ralph M.",Rockefeller University,usa,129,Clinical Medicine
"Weinberg, Steven",The University of Texas at Austin,usa,130,Physics & Astronomy
"Inoue, A.",Josai International University,jpn,131,Enabling & Strategic Technologies
"Demirbas, Ayhan",King Abdulaziz University,sau,132,Enabling & Strategic Technologies
"Ross, Russell",University of Washington School of Medicine,usa,133,Clinical Medicine
"Bentler, P. M.","University of California, Los Angeles",usa,134,Mathematics & Statistics
"Vanderbilt, D.",Rutgers University�New Brunswick,usa,135,Physics & Astronomy
"de Gennes, Pierre Gilles",Coll�ge de France,fra,136,Physics & Astronomy
"Pendry, J. B.",Imperial College London,gbr,137,Physics & Astronomy
"Hallett, Mark",National Institute of Neurological Disorders and Stroke (NINDS),usa,138,Clinical Medicine
"Hynes, Richard O.",Massachusetts Institute of Technology,usa,139,Biomedical Research
"Schwartz, Joel",Harvard T.H. Chan School of Public Health,usa,140,Clinical Medicine
"Mosmann, Tim R.",University of Rochester Medical Center,usa,141,Clinical Medicine
"Zhu, Jian Kang",Chinese Academy of Sciences,chn,142,Biology
"Burnstock, Geoffrey",University of Melbourne,aus,143,Clinical Medicine
"Croce, Carlo M.",The Ohio State University Comprehensive Cancer Center,usa,144,Clinical Medicine
"Spek, Anthony L.",Bijvoet Centre for Biomolecular Research,nld,145,Chemistry
"Karplus, Martin",Universit� de Strasbourg,fra,146,Physics & Astronomy
"Dai, Hongjie",Stanford BIO-X,usa,147,Enabling & Strategic Technologies
"Higgins, Julian Pt",Bristol Medical School,gbr,148,Clinical Medicine
"Ajayan, Pulickel M.",Rice University,usa,149,Enabling & Strategic Technologies
"Tsien, Roger Y.","University of California, San Diego",usa,150,Biomedical Research
"Novoselov, Kostya S.",National University of Singapore,sgp,151,Physics & Astronomy
"McClements, David Julian",University of Massachusetts Amherst,usa,152,"Agriculture, Fisheries & Forestry"
"Ruoslahti, Erkki",Sanford Burnham Prebys Medical Discovery Institute,usa,153,Biomedical Research
"Jankovic, Joseph",Baylor College of Medicine,usa,154,Clinical Medicine
"Fauci, Anthony S.",National Institute of Allergy and Infectious Diseases (NIAID),usa,155,Clinical Medicine
"Beck, Aaron T.",University of Pennsylvania,usa,156,Clinical Medicine
"Popkin, Barry",Carolina Population Center,usa,157,Biomedical Research
"Snyder, Solomon H.",Johns Hopkins School of Medicine,usa,158,Clinical Medicine
"Marsh, Herbert W.",Australian Catholic University,aus,159,Social Sciences
"Weinberger, Daniel R.",Johns Hopkins School of Medicine,usa,160,Clinical Medicine
"Gross, James J.",Stanford University,usa,161,Psychology & Cognitive Sciences
"Mesulam, M. Marsel",Northwestern University Feinberg School of Medicine,usa,162,Clinical Medicine
"Cantley, Lewis C.",Weill Cornell Medicine,usa,163,Biomedical Research
"Woolf, Clifford J.",Children's Hospital Boston,usa,164,Clinical Medicine
"Parkin, D. Maxwell",International Network for Cancer Treatment and Research (INCTR),gbr,165,Clinical Medicine
"Guengerich, F. Peter",Vanderbilt University School of Medicine,usa,166,Biomedical Research
"Baron-Cohen, S.",Autism Research Centre,gbr,167,Clinical Medicine
"Raichle, Marc",Washington University School of Medicine in St. Louis,usa,168,Clinical Medicine
"Ford, Earl S.",National Center for Chronic Disease Prevention and Health Promotion,usa,169,Clinical Medicine
"Sies, Helmut",Leibniz Research Institute for Environmental Medicine,deu,170,Biomedical Research
"Barrett-Connor, Elizabeth",Department of Family Medicine and Public Health,usa,171,Clinical Medicine
"He, Ji Huan",Soochow University,chn,172,Engineering
"Olson, Eric N.",UT Southwestern Medical Center,usa,173,Biomedical Research
"Catterall, William A.",University of Washington,usa,174,Biomedical Research
"Collins, Francis S.",National Human Genome Research Institute (NHGRI),usa,175,Clinical Medicine
"Ajzen, Icek",University of Massachusetts Amherst,usa,176,Psychology & Cognitive Sciences
"Levine, Arnold J.",Institute for Advanced Studies,usa,177,Biomedical Research
"Greenland, Sander","University of California, Los Angeles",usa,178,Clinical Medicine
"Vogelstein, Bert",Johns Hopkins School of Medicine,usa,179,Clinical Medicine
"Evans, Ronald M.",Salk Institute for Biological Studies,usa,180,Biomedical Research
"Forrest, Stephen R.","University of Michigan, Ann Arbor",usa,181,Physics & Astronomy
"Smith, Stephen",University of Oxford Medical Sciences Division,gbr,182,Clinical Medicine
"El-Serag, Hashem B.",Baylor College of Medicine,usa,183,Clinical Medicine
"Haffner, Steven M.",University of Texas Health Science Center at San Antonio,usa,184,Clinical Medicine
"Peppas, Nicholas A.",The University of Texas at Austin,usa,185,Chemistry
"Nathan, Carl F.",Weill Cornell Medicine,usa,186,Clinical Medicine
"M�ller, A. P.","Laboratoire �cologie, Syst�matique et �volution",fra,187,Biology
"Logan, Bruce E.",Pennsylvania State University,usa,188,Enabling & Strategic Technologies
"Egger, M.",Institute of Social and Preventive Medicine,che,189,Clinical Medicine
"Xu, Zeshui",Business School of Sichuan University,chn,190,Information & Communication Technologies
"Ware, John E.","John Ware Research Group, Inc.",usa,191,Clinical Medicine
"Goldman-Rakic, Patricia S.",Yale School of Medicine,usa,192,Clinical Medicine
"Corey, E. J.",Harvard Faculty of Arts and Sciences,usa,193,Chemistry
"Sheldon, Roger A.","University of the Witwatersrand, Johannesburg",zaf,194,Chemistry
"White, Nicholas J.",Nuffield Department of Medicine,gbr,195,Clinical Medicine
"Green, Martin",UNSW Sydney,aus,196,Physics & Astronomy
"Sapolsky, Robert M.",Stanford University,usa,197,Clinical Medicine
"Moncada, Salvador","Faculty of Biology, Medicine and Health",gbr,198,Clinical Medicine
"Davidson, Richard J.",University of Wisconsin-Madison,usa,199,Clinical Medicine
"Torchilin, Vladimir P.",Northeastern University,usa,200,Clinical Medicine
"Cohen, Philip",University of Dundee,gbr,201,Biomedical Research
"Kahneman, Daniel",Princeton University,usa,202,Psychology & Cognitive Sciences
"Morris, John",Washington University School of Medicine in St. Louis,usa,203,Clinical Medicine
"Squire, Larry R.","University of California, San Diego",usa,204,Clinical Medicine
"Calder, Philip C.",University Hospital Southampton NHS Foundation Trust,gbr,205,Biomedical Research
"Felson, David T.",Boston University School of Medicine,usa,206,Clinical Medicine
"Tarascon, Jean Marie",Coll�ge de France,fra,207,Enabling & Strategic Technologies
"Lip, Gregory Y.H.",Aalborg University,dnk,208,Clinical Medicine
"Hardy, John",UCL Queen Square Institute of Neurology,gbr,209,Clinical Medicine
"Fr�chet, Jean M.J.","University of California, Berkeley",usa,210,Chemistry
"Yang, Ziheng",University College London,gbr,211,Biology
"Gordon, Siamon",Sir William Dunn School of Pathology,gbr,212,Clinical Medicine
"Fridovich, Irwin",Duke University Medical Center,usa,213,Biomedical Research
"Lakowicz, Joseph R.",University of Maryland School of Medicine,usa,214,Biomedical Research
"May, Robert M.",Princeton University,usa,215,Clinical Medicine
"Stampfer, Meir J.",Harvard T.H. Chan School of Public Health,usa,216,Clinical Medicine
"Hardie, D. Grahame",University of Dundee,gbr,217,Biomedical Research
"Truhlar, Donald G.",University of Minnesota Twin Cities,usa,218,Physics & Astronomy
"Dobson, Christopher M.",University of Cambridge,gbr,219,Biomedical Research
"Hotam�?l�gil, G�khan S.",Broad Institute,usa,220,Clinical Medicine
"Tokura, Yoshinori",The University of Tokyo,jpn,221,Physics & Astronomy
"Trinchieri, Giorgio",National Cancer Institute (NCI),usa,222,Clinical Medicine
"Wallace, Douglas C.",The Children's Hospital of Philadelphia,usa,223,Biomedical Research
"Harris, A. L.",University of Oxford Medical Sciences Division,gbr,224,Clinical Medicine
"Gaston, K. J.",University of Exeter,gbr,225,Biology
"Dresselhaus, Mildred S.",Massachusetts Institute of Technology,usa,226,Physics & Astronomy
"Hancock, Robert E.W.",The University of British Columbia,can,227,Biomedical Research
"Bork, Peer",European Molecular Biology Laboratory Heidelberg,deu,228,Biomedical Research
"Schreiber, Stuart L.",Broad Institute,usa,229,Biomedical Research
"Nowak, Martin A.",Harvard University,usa,230,Biomedical Research
"Sampson, Hugh A.",Icahn School of Medicine at Mount Sinai,usa,231,Clinical Medicine
"Berridge, Michael J.",The Babraham Institute,gbr,232,Biomedical Research
"Blaser, Martin J.",Rutgers University�New Brunswick,usa,233,Biomedical Research
"Maldacena, Juan",Institute for Advanced Studies,usa,234,Physics & Astronomy
"Austin, Peter C.",Institute for Clinical Evaluative Sciences,can,235,Clinical Medicine
"Pople, John A.",Carnegie Mellon University,usa,236,Physics & Astronomy
"Kandel, Eric R.",Columbia University,usa,237,Clinical Medicine
"Ganz, Tomas",David Geffen School of Medicine at UCLA,usa,238,Clinical Medicine
"Israelachvili, Jacob","University of California, Santa Barbara",usa,239,Physics & Astronomy
"Rakic, Pasko",Yale School of Medicine,usa,240,Clinical Medicine
"Crabtree, Robert H.",Yale University,usa,241,Chemistry
"Chrousos, George P.",Ethnik� ke Kapodistriak� Panepist�mio Athin�n,grc,242,Clinical Medicine
"Acemoglu, Daron",Massachusetts Institute of Technology,usa,243,Economics & Business
"Lefkowitz, Robert J.",Duke University Medical Center,usa,244,Biomedical Research
"Baselga, Jos�",Memorial Sloan-Kettering Cancer Center,usa,245,Clinical Medicine
"Lanier, Lewis L.","University of California, San Francisco",usa,246,Clinical Medicine
"Serhan, Charles N.",Brigham and Women's Hospital,usa,247,Clinical Medicine
"Rolls, Edmund T.",University of Oxford Medical Sciences Division,gbr,248,Clinical Medicine
"Sandborn, William J.","University of California, San Diego",usa,249,Clinical Medicine
"Fuster, Valent�n",Icahn School of Medicine at Mount Sinai,usa,250,Clinical Medicine
"Morley, John E.",St. Louis University School of Medicine,usa,251,Clinical Medicine
"Spiegelman, Bruce M.",Dana-Farber Cancer Institute,usa,252,Biomedical Research
"Bard, Allen J.",The University of Texas at Austin,usa,253,Chemistry
"Klein, Ronald",University of Wisconsin School of Medicine and Public Health,usa,254,Clinical Medicine
"Krumholz, Harlan M.",Yale School of Medicine,usa,255,Clinical Medicine
"Levey, Andrew S.",Tufts Medical Center,usa,256,Clinical Medicine
"Manson, Jo Ann E.",Harvard Medical School,usa,257,Clinical Medicine
"Neese, Frank",Max Planck Institute for Coal Research,deu,258,Chemistry
"Sakaguchi, Shimon","WPI Immunology Frontier Research Center, Osaka University",jpn,259,Clinical Medicine
"Meltzer, Herbert Y.",Northwestern University Feinberg School of Medicine,usa,260,Clinical Medicine
"Biederman, Joseph",Massachusetts General Hospital,usa,261,Clinical Medicine
"Posner, Michael I.",University of Oregon,usa,262,Clinical Medicine
"Cand�s, Emmanuel",Stanford University,usa,263,Mathematics & Statistics
"Kehlet, Henrik",Rigshospitalet,dnk,264,Clinical Medicine
"Cohen, Jacob",Aging and Dementia Research Center,usa,265,Clinical Medicine
"Mizushima, Noboru",Graduate School of Medicine,jpn,266,Biomedical Research
"Hochberg, Marc",University of Maryland School of Medicine,usa,267,Clinical Medicine
"Wolfe, Frederick",University of Kansas School of Medicine - Wichita,usa,268,Clinical Medicine
"Teece, David J.",The University of Texas at Dallas,usa,269,Economics & Business
"Schlessinger, Joseph",Yale School of Medicine,usa,270,Biomedical Research
"Turner, R. C.",University of Oxford,gbr,271,Clinical Medicine
"N�rskov, Jens K.",Technical University of Denmark,dnk,272,Physics & Astronomy
"Nemeroff, Charles B.",The University of Texas at Austin,usa,273,Clinical Medicine
"Holgate, Stephen","University of Southampton, Faculty of Medicine",gbr,274,Clinical Medicine
"van der Aalst, Wil M.P.",Rheinisch-Westf�lische Technische Hochschule Aachen,deu,275,Information & Communication Technologies
"Vitousek, Peter",Stanford University,usa,276,Biology
"Talley, Nicholas J.","The University of Newcastle, Australia",aus,277,Clinical Medicine
"Ferrari, A. C.",University of Cambridge,gbr,278,Enabling & Strategic Technologies
"Tibshirani, Robert",Stanford University,usa,279,Mathematics & Statistics
"Breiman, Leo","University of California, Berkeley",usa,280,Mathematics & Statistics
"Jones, Peter A.",Van Andel Institute,usa,281,Clinical Medicine
"Andreasen, Nancy C.",University of Iowa Carver College of Medicine,usa,282,Clinical Medicine
"Yaghi, Omar M.",Berkeley College of Chemistry,usa,283,Chemistry
"Weissman, Irving L.",Stanford University School of Medicine,usa,284,Clinical Medicine
"Jaenisch, Rudolf",Whitehead Institute,usa,285,Biomedical Research
"El-Sayed, Mostafa A.",Georgia Institute of Technology,usa,286,Physics & Astronomy
"Chambon, Pierre",Coll�ge de France,fra,287,Biomedical Research
"Nagata, Shigekazu",Osaka University,jpn,288,Biomedical Research
"Bray, George A.",Pennington Biomedical Research Center,usa,289,Clinical Medicine
"Schacter, Daniel L.",Harvard Faculty of Arts and Sciences,usa,290,Psychology & Cognitive Sciences
"Dehaene, Stanislas",Coll�ge de France,fra,291,Clinical Medicine
"Volkow, Nora D.",National Institute on Alcohol Abuse and Alcoholism (NIAAA),usa,292,Clinical Medicine
"Sherr, Charles J.",St. Jude Children's Research Hospital,usa,293,Biomedical Research
"Evans, Anthony G.","University of California, Santa Barbara",usa,294,Enabling & Strategic Technologies
"Mancia, Giuseppe",Universit� degli Studi di Milano-Bicocca,ita,295,Clinical Medicine
"Fidler, Isaiah J.",University of Texas MD Anderson Cancer Center,usa,296,Clinical Medicine
"Pardoll, Drew M.",The Sidney Kimmel Comprehensive Cancer Center,usa,297,Clinical Medicine
"Deb, Kalyanmoy",Michigan State University,usa,298,Information & Communication Technologies
"Marcus, Rudolph A.",California Institute of Technology,usa,299,Physics & Astronomy
"Davis, Mark E.",California Institute of Technology,usa,300,Chemistry
"Bird, Adrian",The University of Edinburgh,gbr,301,Biomedical Research
"Hawking, S. W.",University of Cambridge,gbr,302,Physics & Astronomy
"Rice, James R.",Harvard University,usa,303,Engineering
"Desiraju, Gautam R.",Indian Institute of Science,ind,304,Chemistry
"Marsden, C. D.",Faculty of Life Sciences & Medicine,gbr,305,Clinical Medicine
"McMurray, John J.V.",Glasgow Cardiovascular Research Centre,gbr,306,Clinical Medicine
"Davis, Roger J.",University of Massachusetts Chan Medical School,usa,307,Biomedical Research
"Baltimore, David",California Institute of Technology,usa,308,Biomedical Research
"Dolan, Raymond J.",University College London,gbr,309,Clinical Medicine
"Yang, Peidong",Lawrence Berkeley National Laboratory,usa,310,Enabling & Strategic Technologies
"Grubbs, Robert H.",California Institute of Technology,usa,311,Chemistry
"Jemal, Ahmedin",American Cancer Society,usa,312,Clinical Medicine
"Reich, Peter B.",University of Minnesota Twin Cities,usa,313,Biology
"Trenberth, Kevin E.",National Center for Atmospheric Research,usa,314,Earth & Environmental Sciences
"Wilson, Peter W.F.",Emory University School of Medicine,usa,315,Clinical Medicine
"Tversky, Amos",Stanford University,usa,316,Psychology & Cognitive Sciences
"Deci, Edward L.",University of Rochester,usa,317,Psychology & Cognitive Sciences
"F�rstner, Alois",Max Planck Institute for Coal Research,deu,318,Chemistry
"Nathan, David M.",Harvard Medical School,usa,319,Clinical Medicine
"Chua, Leon",Department of Electrical Engineering and Computer Sciences,usa,320,Engineering
"Sallis, James F.","University of California, San Diego",usa,321,Public Health & Health Services
"Gonzalez, Frank J.",National Cancer Institute (NCI),usa,322,Clinical Medicine
"Deyo, Richard A.",University of Washington,usa,323,Clinical Medicine
"Kohn, Walter","University of California, Santa Barbara",usa,324,Physics & Astronomy
"Hench, L. L.",Florida Institute of Technology,usa,325,Enabling & Strategic Technologies
"Lowe, David G.",Google LLC,usa,326,Information & Communication Technologies
"Tomasello, Michael",Duke University,usa,327,Psychology & Cognitive Sciences
"Dubey, J. P.",USDA ARS Beltsville Agricultural Research Center,usa,328,Biomedical Research
"Fuchs, Elaine",Rockefeller University,usa,329,Biomedical Research
"Kanis, John A.",Australian Catholic University,aus,330,Clinical Medicine
"Rao, C. N.R.",Jawaharlal Nehru Centre for Advanced Scientific Research,ind,331,Physics & Astronomy
